ticker,company,issuer_classes,share_class,activity,market_cap,capitalisation_status,excluded_preferred,notes,browser_checked,pe,pe_status,pe_computed,pe_shown,pe_period,pe_denominator,pb,pb_status,pb_computed,pb_shown,pb_period,pb_denominator
AGBA,"""Agrobank"" aksiyadorlik tijorat banki","AGBA, AGBAP",ordinary,active,6648072118110.2,ok,,,True,41.77884970380983,ok,,"41,78× | 2025A + 6М2026 − 6М2025",2025A + 6М2026 − 6М2025,159125303000,0.47927446412543384,ok,,"0,48× | 2026Q2",2026Q2,13871116898000
AGBAP,Agrobank,"AGBA, AGBAP",preferred,active,6648072118110.2,ok,,,True,41.77884970380983,ok,,"41,78× | 2025A + 6М2026 − 6М2025",2025A + 6М2026 − 6М2025,159125303000,0.47927446412543384,ok,,"0,48× | 2026Q2",2026Q2,13871116898000
AGMK,"""Olmaliq kon-metallurgiya kombinati"" aksiyadorlik jamiyati","AGMK, AGMKP",ordinary,inactive,,incomplete,,AGMK: verified class price is unavailable,True,,no_market_cap,,неполная капитализация эмитента,,17384609198000,,no_market_cap,,неполная капитализация эмитента,,43353925327000
AGMKP,"""Olmaliq kon-metallurgiya kombinati"" aksiyadorlik jamiyati","AGMK, AGMKP",preferred,active,,incomplete,,AGMK: verified class price is unavailable,True,,no_market_cap,,неполная капитализация эмитента,,17384609198000,,no_market_cap,,неполная капитализация эмитента,,43353925327000
ALKB,"Аksiyadorlik tijorat ""Aloqabank""","ALKB, ALKBP",ordinary,active,3285943041798.85,ok,,,True,11.10556047882427,ok,,"11,11× | 2025A + 6М2026 − 6М2025",2025A + 6М2026 − 6М2025,295882684000,0.6648142346544088,ok,,"0,66× | 2026Q2",2026Q2,4942648443000
ALKBP,"Аksiyadorlik tijorat ""Aloqabank""","ALKB, ALKBP",preferred,active,3285943041798.85,ok,,,True,11.10556047882427,ok,,"11,11× | 2025A + 6М2026 − 6М2025",2025A + 6М2026 − 6М2025,295882684000,0.6648142346544088,ok,,"0,66× | 2026Q2",2026Q2,4942648443000
ALSM,"""Alskom sug'urta kompaniyasi"" aksiyadorlik jamiyati","ALSM, ALSMP",ordinary,active,100195781400,ok,,PE: loss_making; ,True,,loss_making,-61.78927327834054,"-61,79× | убыток",2025A + 6М2026 − 6М2025,-1621572420,1.408899943901373,ok,,"1,41× | 2026Q2",2026Q2,71116321520
ALSMP,"""Alskom sug'urta kompaniyasi"" aksiyadorlik jamiyati","ALSM, ALSMP",preferred,active,100195781400,ok,,PE: loss_making; ,True,,loss_making,-61.78927327834054,"-61,79× | убыток",2025A + 6М2026 − 6М2025,-1621572420,1.408899943901373,ok,,"1,41× | 2026Q2",2026Q2,71116321520
BECM,"""Bekobodsement"" Aksiyadorlik jamiyati","BECM, BECMP",ordinary,active,120619502418.00002,ok,,PE: loss_making; ,True,,loss_making,-4.1790418977876005,"-4,18× | убыток",2024A + 9М2025 − 9М2024,-28862956000,1.2515890189513588,ok,,"1,25× | 2025Q3",2025Q3,96373091000
BECMP,"""Bekobodsement"" Aksiyadorlik jamiyati","BECM, BECMP",preferred,active,120619502418.00002,ok,,PE: loss_making; ,True,,loss_making,-4.1790418977876005,"-4,18× | убыток",2024A + 9М2025 − 9М2024,-28862956000,1.2515890189513588,ok,,"1,25× | 2025Q3",2025Q3,96373091000
