"Тип";"Тикер";"Организация";"Период";"Показатель";"Статус";"Как на сайте сейчас";"Как должно быть";"Разница";"Строка OpenInfo";"Ссылка OpenInfo";"Страница сайта"
"Эмитент";"UZIR";"""O'zbekko'mir"" aksiyadorlik jamiyati";"2026Q1";"Расходы периода";"Заменить";"69 552 876 000";"74 424 438 000";"−4 871 562 000";"040. Расходы периода, всего";"https://openinfo.uz/ru/reports/to_pdf29739/";"https://uzstock.uz/company/UZIR"
"Эмитент";"UZIR";"""O'zbekko'mir"" aksiyadorlik jamiyati";"2026Q2";"Расходы периода";"Заменить";"−248 972 143 000";"151 604 589 000";"400 576 732 000";"040. Расходы периода, всего";"https://openinfo.uz/ru/reports/to_pdf31068/";"https://uzstock.uz/company/UZIR"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2016Q4";"Итого активов";"Добавить";"Нет значения";"3 949 374 649 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf6001/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2016Q4";"Итого капитала";"Добавить";"Нет значения";"531 834 075 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf6001/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2017Q4";"Итого активов";"Добавить";"Нет значения";"4 981 542 046 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf7806/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2017Q4";"Итого капитала";"Добавить";"Нет значения";"1 373 940 005 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf7806/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2018Q4";"Итого активов";"Добавить";"Нет значения";"10 362 959 993 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf10733/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2018Q4";"Итого капитала";"Добавить";"Нет значения";"2 214 173 648 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf10733/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2019Q4";"Итого активов";"Добавить";"Нет значения";"18 487 891 328 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf14498/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2019Q4";"Итого капитала";"Добавить";"Нет значения";"4 627 088 370 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf14498/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2020Q4";"Итого активов";"Добавить";"Нет значения";"31 211 061 156 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf15481/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2020Q4";"Итого капитала";"Добавить";"Нет значения";"5 371 213 255 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf15481/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2021Q4";"Итого активов";"Добавить";"Нет значения";"39 971 153 120 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf17976/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2021Q4";"Итого капитала";"Добавить";"Нет значения";"9 346 136 796 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf17976/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2022Q4";"Итого активов";"Добавить";"Нет значения";"53 068 188 092 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf20570/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2022Q4";"Итого капитала";"Добавить";"Нет значения";"9 505 267 759 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf20570/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"AGBA";"""Agrobank"" aksiyadorlik tijorat banki";"2023Q3";"Итого капитала";"Заменить";"57 358 463 443 000";"9 785 156 539 000";"47 573 306 904 000";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf21296/";"https://ai-analys-production.up.railway.app/company/AGBA"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2016Q4";"Итого активов";"Добавить";"Нет значения";"1 574 220 954 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf4897/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2016Q4";"Итого капитала";"Добавить";"Нет значения";"215 420 350 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf4897/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2017Q4";"Итого активов";"Добавить";"Нет значения";"2 792 243 464 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf6890/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2017Q4";"Итого капитала";"Добавить";"Нет значения";"398 384 119 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf6890/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2018Q4";"Итого активов";"Добавить";"Нет значения";"5 846 626 501 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf9614/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2018Q4";"Итого капитала";"Добавить";"Нет значения";"1 162 448 779 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf9614/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2019Q4";"Итого активов";"Добавить";"Нет значения";"7 341 732 732 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf12111/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2019Q4";"Итого капитала";"Добавить";"Нет значения";"1 396 370 695 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf12111/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2020Q4";"Итого активов";"Добавить";"Нет значения";"8 108 166 331 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf14696/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2020Q4";"Итого капитала";"Добавить";"Нет значения";"1 568 529 812 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf14696/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2021Q4";"Итого активов";"Добавить";"Нет значения";"12 638 456 623 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf17138/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2021Q4";"Итого капитала";"Добавить";"Нет значения";"1 673 505 943 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf17138/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2022Q4";"Итого активов";"Добавить";"Нет значения";"16 083 550 327 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf19669/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"ALKB";"Аksiyadorlik tijorat ""Aloqabank""";"2022Q4";"Итого капитала";"Добавить";"Нет значения";"1 795 333 660 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf19669/";"https://ai-analys-production.up.railway.app/company/ALKB"
"Банк";"BRBN";"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki";"2016Q4";"Итого активов";"Добавить";"Нет значения";"5 415 976 080 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf4817/";"https://ai-analys-production.up.railway.app/company/BRBN"
"Банк";"BRBN";"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki";"2016Q4";"Итого капитала";"Добавить";"Нет значения";"495 194 291 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf4817/";"https://ai-analys-production.up.railway.app/company/BRBN"
"Банк";"BRBN";"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki";"2017Q4";"Итого активов";"Добавить";"Нет значения";"6 647 071 922 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf7628/";"https://ai-analys-production.up.railway.app/company/BRBN"
"Банк";"BRBN";"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki";"2017Q4";"Итого капитала";"Добавить";"Нет значения";"1 168 389 476 000";"—";"30. Итого собственного капитала";"https://openinfo.uz/ru/reports/to_pdf7628/";"https://ai-analys-production.up.railway.app/company/BRBN"
"Банк";"BRBN";"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki";"2018Q4";"Итого активов";"Добавить";"Нет значения";"9 342 269 132 000";"—";"14. Итого активов";"https://openinfo.uz/ru/reports/to_pdf10324/";"https://ai-analys-production.up.railway.app/company/BRBN"
