IFUT (ОКЭД);Отрасль (вид деятельности);Категория риска;КСТ
01619;Предоставление прочих услуг в области сельского хозяйства;1;0,571
18200;Отображение записей на информационных носителях;1;0,571
41100;Разработка строительных проектов;1;0,571
46110;Деятельность агентов по оптовой торговле сельскохозяйственным сырьём, живыми животными, текстильным сырьём и полуфабрикатами;1;0,571
46120;Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами;1;0,571
46130;Деятельность агентов по оптовой торговле древесиной и строительными материалами;1;0,571
46140;Деятельность агентов по оптовой торговле машинами, оборудованием, промышленным оборудованием, водными и воздушными судами;1;0,571
46150;Деятельность агентов по оптовой торговле мебелью, товарами для дома, скобяными изделиями и прочими металлическими изделиями;1;0,571
46160;Деятельность агентов по оптовой торговле текстильными изделиями, одеждой, обувью, меховыми и кожаными изделиями;1;0,571
46170;Деятельность агентов по оптовой торговле продуктами питания, включая напитки и табачные изделия;1;0,571
46180;Деятельность агентов, специализирующихся на оптовой торговле отдельными видами или группами товаров, не включённых в другие категории;1;0,571
46190;Деятельность агентов по оптовой торговле широким ассортиментом товаров;1;0,571
59000;Производство кино- и видеофильмов, телевизионных программ, фонограмм и музыкальных записей;1;0,571
59100;Производство кино- и видеофильмов и телевизионных программ;1;0,571
59110;Производство кино- и видеофильмов и телевизионных программ;1;0,571
59120;Послепроизводственный этап кино-, видеофильмов и телевизионных программ;1;0,571
59130;Распространение кинофильмов, видео- и телевизионных программ;1;0,571
59140;Демонстрация кинофильмов;1;0,571
59200;Деятельность по изданию фонограмм и музыкальных записей;1;0,571
60000;Деятельность по созданию программ, телевещанию и радиовещанию;1;0,571
60100;Радиовещание;1;0,571
60200;Деятельность по созданию и демонстрации телевизионных программ;1;0,571
61000;Связь;1;0,571
61100;Предоставление услуг проводной связи;1;0,571
61200;Предоставление услуг беспроводной связи;1;0,571
61300;Предоставление услуг спутниковой связи;1;0,571
61900;Предоставление прочих телекоммуникационных услуг;1;0,571
62000;Компьютерное программирование, консультации и другие вспомогательные услуги;1;0,571
62010;Деятельность в области компьютерного программирования;1;0,571
62020;Консультационные услуги в области компьютерных технологий;1;0,571
62030;Деятельность по управлению компьютерным оборудованием;1;0,571
62090;Другие виды деятельности в сфере информационных технологий и компьютерных систем;1;0,571
63000;Деятельность в области предоставления информационных услуг;1;0,571
63100;Услуги по размещению и обработке данных, веб-порталы;1;0,571
63110;Услуги по размещению и обработке данных;1;0,571
63120;Веб-порталы;1;0,571
63900;Другие виды информационных услуг;1;0,571
63910;Деятельность информационных агентств;1;0,571
63990;Прочая деятельность по предоставлению информационных услуг, не включённая в другие категории;1;0,571
64000;Финансовые услуги, кроме услуг по страхованию и пенсионному обеспечению;1;0,571
64100;Денежно-кредитное посредничество;1;0,571
64110;Деятельность Центрального банка;1;0,571
64190;Прочие виды денежно-кредитного посредничества;1;0,571
64200;Деятельность холдинговых компаний;1;0,571
64300;Тресты, фонды и аналогичные финансовые организации;1;0,571
64900;Прочие виды финансовых услуг, за исключением услуг по страхованию и пенсионному обеспечению;1;0,571
64910;Финансовый лизинг;1;0,571
64920;Прочие виды кредитования;1;0,571
64990;Прочие виды финансовых услуг, за исключением услуг по страхованию и пенсионному обеспечению, не включённые в другие категории;1;0,571
65000;Деятельность по страхованию, перестрахованию и негосударственных пенсионных фондов, кроме обязательного социального страхования;1;0,571
65100;Страхование;1;0,571
65110;Страхование жизни;1;0,571
65120;Страхование, кроме страхования жизни;1;0,571
65200;Перестрахование;1;0,571
65300;Деятельность пенсионных фондов;1;0,571
66000;Вспомогательная деятельность по предоставлению финансовых услуг и страхованию;1;0,571
66100;Вспомогательная деятельность по предоставлению финансовых услуг, кроме страхования и пенсионного обеспечения;1;0,571
66110;Управление финансовыми рынками;1;0,571
66120;Брокерские услуги по ценным бумагам и товарным контрактам;1;0,571
66190;Прочая вспомогательная деятельность по предоставлению финансовых услуг, кроме страхования и пенсионного обеспечения;1;0,571
66200;Вспомогательная деятельность в области страхования и пенсионного обеспечения;1;0,571
66210;Деятельность по оценке страхового риска и ущерба;1;0,571
66220;Деятельность страховых агентов и брокеров;1;0,571
66290;Прочая вспомогательная деятельность в области страхования и пенсионного обеспечения;1;0,571
66300;Управление фондами;1;0,571
68000;Операции с недвижимым имуществом;1;0,571
68100;Купля-продажа собственного недвижимого имущества;1;0,571
68200;Сдача в аренду и управление собственным или арендованным недвижимым имуществом;1;0,571
68201;Сдача в аренду и управление помещениями для организации торговли;1;0,571
68202;дача в аренду и управление нежилыми помещениями;1;0,571
68203;Сдача в аренду и управление многоквартирными домами и жилыми помещениями;1;0,571
68204;Сдача в аренду и управление землями;1;0,571
68300;Операции с недвижимым имуществом за вознаграждение или на основании договора;1;0,571
68310;Деятельность агентств по операциям с недвижимым имуществом;1;0,571
68320;Управление недвижимым имуществом за вознаграждение или на основании договора;1;0,571
68321;Управление недвижимым имуществом, предназначенным или не предназначенным для производственных целей, непригодным для проживания;1;0,571
68329;Услуги по управлению недвижимым имуществом, не включённым в другие категории;1;0,571
69000;Деятельность в сфере права и бухгалтерского учёта;1;0,571
69100;Юридические услуги;1;0,571
69101;Деятельность адвокатской организации;1;0,571
69102;Деятельность нотариусов;1;0,571
69109;Другие юридические услуги;1;0,571
69200;"Деятельность в области бухгалтерского учета и аудита; консультации по налогообложению";1;0,571
69201;Деятельность в области бухгалтерского учета;1;0,571
69202;Аудиторская деятельность;1;0,571
69203;Услуги консультантов по вопросам налогообложения;1;0,571
70000;"Деятельность головных компаний; консультации по вопросам управления";1;0,571
70100;Деятельность головных компаний;1;0,571
70200;Консультации по вопросам управления;1;0,571
70210;Деятельность в области общественных связей и коммуникаций;1;0,571
70220;Консультирование по вопросам коммерческой деятельности и управления;1;0,571
71000;Деятельность в области архитектурных и инженерных исследований, технических испытаний и анализа;1;0,571
71100;Деятельность в области архитектурных и инженерных исследований и предоставление технических консультаций в этих областях;1;0,571
71110;Деятельность в области архитектуры;1;0,571
71120;Деятельность в области архитектурных исследований и предоставление технических консультаций в этом области;1;0,571
71200;технические испытания и анализы;1;0,571
72000;научные исследования и разработки;1;0,571
72100;Научные исследования и экспериментальные разработки в области естественных наук и инженерии;1;0,571
72110;Научные исследования и экспериментальные разработки в области биотехнологий;1;0,571
72190;Другие исследования и разработки в области естественных наук и инженерии;1;0,571
72200;Исследования и экспериментальные разработки в области социальных и гуманитарных наук;1;0,571
73000;Рекламная деятельность и исследование рыночной конъюнктуры;1;0,571
73100;Рекламная деятельность;1;0,571
73110;Рекламные агентства;1;0,571
73120;Размещение рекламы в средствах массовой информации;1;0,571
74000;Прочая профессиональная, научная и техническая деятельность;1;0,571
74100;Специализированная дизайнерская деятельность;1;0,571
74300;Письменный и устный перевод;1;0,571
74900;Профессиональная, научная и техническая деятельность, не включённая в другие категории;1;0,571
77000;Профессиональная, научная и техническая деятельность, не включённая в другие категории;1;0,571
77100;Аренда и лизинг моторных транспортных средств;1;0,571
77110;Аренда и лизинг легковых автомобилей и легких моторных транспортных средств;1;0,571
77120;Аренда и лизинг грузовых транспортных средств;1;0,571
77130;Краткосрочная аренда автомобилей и автотранспортных средств сроком до 30 дней;1;0,571
77200;Аренда и лизинг личных вещей и бытовых товаров;1;0,571
77210;Аренда и лизинг оборудования для отдыха и спорта;1;0,571
77220;Аренда видеозаписей и дисков;1;0,571
77290;Аренда и лизинг прочих личных вещей и бытовых товаров;1;0,571
77300;Аренда и лизинг прочих машин, оборудования и материальных средств;1;0,571
77310;Аренда и лизинг сельскохозяйственной техники и оборудования;1;0,571
77320;Аренда и лизинг строительной техники и оборудования для строительства гражданских объектов;1;0,571
77330;Аренда и лизинг офисной техники и оборудования, включая вычислительную технику;1;0,571
77340;Аренда и лизинг водного транспортного средства и оборудования;1;0,571
77350;Аренда и лизинг воздушного транспортного средства и оборудования;1;0,571
77390;Аренда и лизинг машин, оборудования и материальных средств, не включенных в другие категории;1;0,571
77400;Аренда и лизинг интеллектуальной собственности и подобных продуктов, за исключением произведений, защищенных авторским правом;1;0,571
78000;Трудоустройство;1;0,571
78100;Деятельность агентств по трудоустройству;1;0,571
78200;Деятельность агентств по временной занятости;1;0,571
78300;Деятельность прочих организаций, занимающихся работой с персоналом;1;0,571
84000;"Государственное управление и оборона; обязательное социальное обеспечение";1;0,571
84100;"Общее государственное управление; социально-экономическое управление";1;0,571
84110;Общее государственное управление;1;0,571
84111;Деятельность органов государственной власти и управления республиканского уровня;1;0,571
84112;Деятельность территориальных органов государственной власти и управления;1;0,571
84113;Деятельность органов местного самоуправления;1;0,571
84119;Управление государственными службами, не включенными в другие категории;1;0,571
84120;Управление учреждениями, предоставляющими медицинские и культурные услуги, а также прочие социальные услуги, кроме социального обеспечения;1;0,571
84130;Содействие и управление эффективной экономической деятельностью;1;0,571
84200;Оказание услуг обществу государством;1;0,571
84210;Международная деятельность;1;0,571
84220;Оборонная деятельность;1;0,571
84230;Деятельность в области юстиции и суд;1;0,571
84240;Деятельность по обеспечению общественного порядка и безопасности;1;0,571
84300;Деятельность в сфере обязательного социального обеспечения;1;0,571
85000;Образование;1;0,571
85100;Дошкольное образование;1;0,571
85200;Дошкольное образование;1;0,571
85300;Среднее образование;1;0,571
85310;Общее среднее образование;1;0,571
85320;Техническое и профессиональное среднее образование;1;0,571
85400;Высшее образование;1;0,571
85410;Послесреднее образование;1;0,571
85420;Высшее образование;1;0,571
85500;Другие виды образования;1;0,571
85510;Образование в области спорта, включая обучение для досуга;1;0,571
85520;Образование в сфере культуры;1;0,571
85530;Деятельность школ подготовки водителей транспортных средств;1;0,571
85590;Другие виды образования, не включённые в другие категории;1;0,571
85600;Вспомогательная деятельность в сфере образования;1;0,571
86000;Вспомогательная деятельность в сфере образования;1;0,571
86100;Деятельность больничных учреждений;1;0,571
86200;Деятельность в области общей медицинской практики и стоматологии;1;0,571
86210;Деятельность в области общей медицинской практики;1;0,571
86220;Деятельность в области специализированной медицинской практики;1;0,571
86230;Деятельность в области стоматологии;1;0,571
86900;Прочая деятельность в сфере здравоохранения;1;0,571
87000;Уход с предоставлением жилья;1;0,571
87100;Медицинское обслуживание с предоставлением жилья;1;0,571
87200;Деятельность, связанная с проживанием лиц с умственными и физическими недостатками, психическими и наркологическими заболеваниями;1;0,571
87300;Уход за пожилыми и инвалидами с предоставлением жилья;1;0,571
87900;Другие виды ухода с предоставлением жилья;1;0,571
88000;Социальные услуги без предоставления жилья;1;0,571
88100;Социальные услуги для пожилых и инвалидов без предоставления жилья;1;0,571
88900;Другие социальные услуги без предоставления жилья;1;0,571
88910;Дневной уход за детьми;1;0,571
88990;Прочие социальные услуги без предоставления жилья, не включённые в другие категории;1;0,571
90000;Деятельность в сфере творчества, искусства и развлечений;1;0,571
90010;Деятельность театров;1;0,571
90020;Техническая поддержка постановок;1;0,571
90030;Деятельность в области искусства;1;0,571
90040;Деятельность театров и концертных залов;1;0,571
91000;Библиотеки, архивы, музеи и другие учреждения культуры;1;0,571
91010;Деятельность библиотек и архивов;1;0,571
91020;Деятельность музеев;1;0,571
91030;Деятельность по сохранению исторических мест и зданий, культурных памятников;1;0,571
91040;Деятельность ботанических садов, зоопарков и заповедников;1;0,571
93000;Деятельность в области спорта, отдыха и организации развлечений;1;0,571
93100;Спортивная деятельность;1;0,571
93110;Деятельность спортивных объектов;1;0,571
93120;Деятельность спортивных клубов;1;0,571
93130;Деятельность фитнес-клубов;1;0,571
93190;Прочая спортивная деятельность;1;0,571
93200;Деятельность по организации отдыха и развлечений;1;0,571
93210;Деятельность парков отдыха и тематических парков;1;0,571
93290;Прочая деятельность по организации отдыха и развлечений;1;0,571
94000;Деятельность членских организаций;1;0,571
94100;Деятельность коммерческих, предпринимательских и профессиональных членских организаций;1;0,571
94110;Деятельность членских организаций в сфере коммерции и предпринимательства;1;0,571
94120;Деятельность профессиональных членских организаций;1;0,571
94200;Деятельность профсоюзов;1;0,571
94900;Деятельность других профессиональных членских организаций;1;0,571
94910;Деятельность религиозных организаций;1;0,571
94920;Деятельность политических организаций;1;0,571
94990;Деятельность членских организаций, не включённых в другие категории;1;0,571
97000;Деятельность домашних хозяйств, нанимающих домашнюю прислугу;1;0,571
98000;Производство товаров и услуг для собственного потребления домашними хозяйствами;1;0,571
98100;Производство товаров для собственного потребления домашними хозяйствами;1;0,571
98200;Производство услуг для собственного потребления домашними хозяйствами;1;0,571
99000;Деятельность экстерриториальных организаций;1;0,571
35130;Распределение электроэнергии;2;0,857
35140;Продажа электроэнергии;2;0,857
53000;Деятельность почтовой и курьерской связи;2;0,857
53100;Почтовая связь на основе обязательств универсального обслуживания;2;0,857
53200;Прочая деятельность почтовой и курьерской связи;2;0,857
55300;Деятельность туристических баз, зон отдыха и парков развлечений;2;0,857
73200;Исследование конъюнктуры рынка и изучение общественного мнения;2;0,857
74200;Исследование конъюнктуры рынка и изучение общественного мнения;2;0,857
79000;Деятельность туроператоров, турагентств и прочих организаций в сфере туризма;2;0,857
79100;Деятельность туристических агентств и туроператоров;2;0,857
79110;Деятельность туристических агентств;2;0,857
79120;Деятельность туроператоров;2;0,857
79900;Прочие услуги по бронированию и сопутствующие услуги;2;0,857
81000;Прочие услуги по бронированию и сопутствующие услуги;2;0,857
81100;Комплексное обслуживание объектов;2;0,857
81200;Деятельность по уборке;2;0,857
81210;Общая уборка зданий;2;0,857
81220;Прочая деятельность по уборке зданий и промышленных объектов;2;0,857
81290;Прочие виды услуг по уборке;2;0,857
81300;"Деятельность по благоустройству; проектирование ландшафта";2;0,857
82000;Деятельность в области административного, хозяйственного и прочего вспомогательного обслуживания;2;0,857
82100;Деятельность в области административного и вспомогательного обслуживания;2;0,857
82110;Комплексное предоставление административно-управленческих услуг;2;0,857
82190;Копирование документов, подготовка документов и прочие специализированные офисные услуги;2;0,857
82200;Деятельность справочных и информационных служб;2;0,857
82300;Организация конференций и торгово-промышленных выставок;2;0,857
82900;Прочая вспомогательная деятельность в сфере хозяйственной деятельности, не включённая в другие категории;2;0,857
82910;Деятельность агентств по сбору платежей и кредитных бюро;2;0,857
82920;Деятельность по упаковке;2;0,857
82990;Прочие виды вспомогательной деятельности в сфере хозяйственной деятельности, не включённые в другие категории;2;0,857
92000;Услуги по организации азартных игр и заключению пари;2;0,857
96020;Услуги парикмахерских и салонов красоты;2;0,857
96030;Организация похорон и сопутствующая деятельность;2;0,857
96040;Деятельность по обеспечению физического комфорта;2;0,857
96090;Прочие персональные услуги, не включённые в другие категории;2;0,857
11050;Производство пиво;3;1,143
11060;Производство солода (пророщенная и дроблёная пшеница, ячмень и др.);3;1,143
32910;Производство метёлок и щёток;3;1,143
45000;Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт;3;1,143
45100;Торговля автотранспортными средствами;3;1,143
45110;Торговля автомобилями и легковыми автотранспортными средствами;3;1,143
45111;Оптовая торговля автомобилями и легковыми автотранспортными средствами;3;1,143
45112;Розничная торговля автомобилями и легковыми автотранспортными средствами;3;1,143
45190;Торговля прочими автотранспортными средствами;3;1,143
45191;Оптовая торговля прочими автотранспортными средствами;3;1,143
45192;Розничная торговля прочими автотранспортными средствами;3;1,143
45300;Торговля автозапчастями, узлами и принадлежностями;3;1,143
45310;Оптовая торговля автозапчастями, узлами и принадлежностями;3;1,143
45320;Розничная торговля автозапчастями, узлами и принадлежностями;3;1,143
45400;"Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов";3;1,143
45401;Оптовая торговля мотоциклами, их деталями, узлами и принадлежностями;3;1,143
45402;Розничная торговля автозапчастями, узлами и принадлежностями;3;1,143
46000;"Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов";3;1,143
46100;Оптовая торговля мотоциклами, их деталями, узлами и принадлежностями;3;1,143
47000;Розничная торговля, кроме торговли автомобилями и мотоциклами;3;1,143
47100;Розничная торговля в неспециализированных магазинах;3;1,143
47110;Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, включая напитки и табачные изделия;3;1,143
47190;Розничная торговля в неспециализированных магазинах прочими товарами;3;1,143
47200;Розничная торговля в специализированных магазинах преимущественно продуктами питания, включая напитки и табачные изделия;3;1,143
47210;Розничная торговля фруктами и овощами в специализированных магазинах;3;1,143
47220;Розничная торговля мясом и мясными продуктами в специализированных магазинах;3;1,143
47230;Розничная торговля рыбой, ракообразными и моллюсками в специализированных магазинах;3;1,143
47240;Розничная торговля хлебобулочными изделиями, мучными и кондитерскими изделиями в специализированных магазинах;3;1,143
47250;Розничная торговля напитками в специализированных магазинах;3;1,143
47251;Розничная торговля алкогольными напитками;3;1,143
47252;Розничная торговля безалкогольными напитками и пивом;3;1,143
47260;Розничная торговля табачными изделиями в специализированных магазинах;3;1,143
47290;Розничная торговля прочими продуктами питания в специализированных магазинах;3;1,143
47300;Розничная торговля моторным топливом в специализированных магазинах;3;1,143
47400;Розничная торговля информационным и телекоммуникационным оборудованием в специализированных магазинах;3;1,143
47410;Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах;3;1,143
47420;Розничная торговля телекоммуникационным оборудованием в специализированных магазинах;3;1,143
47430;Розничная торговля аудио- и видеотехникой в специализированных магазинах;3;1,143
47500;Розничная торговля прочим оборудованием для дома в специализированных магазинах;3;1,143
47510;Розничная торговля текстильными изделиями в специализированных магазинах;3;1,143
47520;Розничная торговля в специализированных магазинах скобяными изделиями, лакокрасочными материалами и стеклом;3;1,143
47530;Розничная торговля в специализированных магазинах коврами, настенными и напольными покрытиями;3;1,143
47531;Розничная торговля коврами и ковровыми изделиями в специализированных магазинах;3;1,143
47539;Розничная торговля прочими настенными и напольными покрытиями в специализированных магазинах;3;1,143
